d058.s043.t000	4) temporary housing for homeless or displaced persons.
d004.s078.t002	0) marked by or promising bad fortune; ; ; ; - W.H.Prescott.
d004.s078.t003	2) several related operations aimed at achieving a particular goal (usually within geographical and temporal constraints). Question: given the
d004.s078.t004	1) a characteristic property that defines the apparent individual nature of something.  #### Information related to "Semantics" in
d004.s078.t005	0) a male sovereign; ruler of a kingdom.
d004.s078.t006	4) the continuum of experience in which events pass from the future through the present to the past.
d004.s078.t007	0) uselessness as a consequence of having no practical result.  10.9/10  (10)
d004.s078.t008	0) have the quality of being; (copula, used with an adjective or a predicate noun).
d004.s078.t009	0) negation of a word or group of words.
d004.s078.t010	0) and nothing more.
d004.s078.t011	1) deserving or inciting pity; ; ; - Galsworthy.
d004.s078.t012	2) in many cases or instances.  ###### 2018-02-24 13:35:42
d004.s078.t013	1) incongruous;inviting ridiculeQuestion: given the following sentence: "The first half of The Charles
d099.s032.t000	1) follow stealthily or recur constantly and spontaneously to. Question: given the following sentence: "The word "
d099.s032.t001	0) a minor parish official who serves a ceremonial function```pythonimport nltkfrom nltk.corpus import brown
d099.s032.t002	1) state or announce.
d099.s032.t003	0) change location; move, travel, or proceed, also metaphorically.
d099.s032.t004	0) (used to introduce a logical conclusion) from that fact or reason or as a result.
d099.s032.t005	0) a body serving in an administrative capacity.
d099.s032.t006	6) be in charge of, act on, or dispose of. 9) direct the course of; manage or
d099.s032.t007	5) act in disregard of laws, rules, contracts, or promises.
d099.s032.t008	0) the collection of rules imposed by authority.
d099.s032.t009	0) someone who commits adultery or fornication.
d099.s032.t010	0) a criminal who takes property belonging to someone else with the intention of keeping it or selling it.  %
d099.s032.t011	0) a criminal who commits homicide (who performs the unlawful premeditated killing of another human being).
d099.s032.t012	0) suggestive of or tending to moral loosenessFinal Answer: The final answer is 0) a hollow
d099.s032.t013	0) a human being.
pad.v.03_example.0	3) add padding to.
d146.s058.t000	0) a neutral achromatic color midway between white and black.  (Note: The word "gray" in the
d146.s058.t001	0) the front of the human head from the forehead to the chin and ear to ear.
d146.s058.t002	0) look at with fixed eyes.
d146.s058.t003	0) without deviation.
d146.s058.t004	0) at or in the front.
d146.s058.t005	0) very light rain; stronger than mist but less than a shower.
d119.s131.t000	0) be present at (meetings, church services, university), etc..
d119.s131.t001	1) a piece of open land for recreational use in an urban area.
d119.s131.t002	4) exhibiting courtesy and politeness.Question: given the following sentence: "`` I am not going to let you
d119.s131.t003	0) a polite name for any woman.
d119.s131.t004	5) speak, pronounce, or utter in a certain way.
sin.n.06_example.0	5) violent and excited activity.
d077.s065.t000	1) throw with great effort.
d077.s065.t001	0) no longer having or seeming to have or expecting to have life.
d077.s065.t002	0) an adult person who is male (as opposed to a woman)
d077.s065.t003	0) an open horse-drawn carriage with four wheels; has a seat attached to a flexible board between the two ax
d077.s065.t004	0) utter a sudden loud cryQuestion: given the following sentence: "The new law will be effective on January
d077.s065.t005	0) beat severely with a whip or rod.
d077.s065.t006	1) two or more draft animals that work together to pull something.
d077.s065.t007	0) move out of or depart from.
d077.s065.t008	0) quickly or rapidly (often used as a combining form).
d137.s031.t000	1) a single person or thing.
d137.s031.t001	0) declare or make legally valid.
d137.s031.t002	0) a legal document codifying the result of deliberations of a committee or society or legislative body.
d137.s031.t003	0) an educational institution.
d137.s031.t004	0) a region marked off for administrative or other purposes.
d127.s046.t000	0) an unofficial association of people or groups.
d127.s046.t001	0) a thief who steals from someone by threatening violence.
d127.s046.t002	0) to come or go into.  ###### 0#### 0#### 0####
d127.s046.t003	0) terminal where trains load or unload passengers or goods.
d127.s046.t004	0) overcome by superior forceQuestion: given the following sentence: "The material of the Porter film is simplicity itself
d127.s046.t005	0) secure with or as if with ropes.
d127.s046.t006	0) someone who transmits messages by telegraph.
d127.s046.t007	3) rob at gunpoint or by means of some other threat.
d127.s046.t008	0) public transport provided by a line of railway cars coupled together and drawn by a locomotive.
d127.s046.t009	5) flee; take to one's heels; cut and run.
d158.s087.t000	0) to a considerable degree.
d158.s087.t001	0) (used of persons or the military) characterized by having or bearing arms.
d158.s087.t002	0) make ready for action or use.  % Answered correctly. % Answered correctly. % Answered correctly
d158.s087.t003	0) quickly or rapidly (often used as a combining form).  1) firmly or closely.  2
d158.s087.t004	0) in motion.
d158.s087.t005	0) activities organized by civilians for their own protection in time of war or disaster.
d158.s087.t006	2) gear consisting of a set of articles or tools for a specified purpose.
d158.s087.t007	0) being three more than twenty.
d158.s087.t008	0) someone who helps callers get the person they are calling.
d158.s087.t009	0) place of business where professional or clerical duties are performed.
d158.s087.t010	0) group of people willing to obey orders. Question: given the following sentence: "`` The sound of bells
d158.s087.t011	2) occupy a place or location, also metaphorically.  (Note: the context is a group of telephone employees
d158.s087.t012	0) completely prepared or in condition for immediate action or use or progress. Question: given the following sentence: "
d158.s087.t013	0) to come or go into.  I hope it is correct.  I am not sure about it.
d158.s087.t014	0) something done (usually as opposed to something said).
d158.s087.t015	0) a unit of time equal to 60 seconds or 1/60th of an hour.
d158.s087.t016	3) advance notification (usually written) of the intention to withdraw from an arrangement of contract.
last.n.03_example.0	0) the temporal end; the concluding timeQuestion: given the following sentence: "The new employee was struggling to
idler.n.01_example.0	3) the fleshy part of the human body that you sit on.
d152.s068.t000	2) come as a logical consequence; follow logically. Question: given the following sentence: "`` The sound of
d152.s068.t001	2) works well as a means or remedy. Question: given the following sentence: "The concept of the '
d152.s068.t002	0) a plan of action adopted by an individual or social group.
d152.s068.t003	0) relating to societies in which capital needed to industrialize is in short supplyQuestion: given the following sentence:
d152.s068.t004	0) a politically organized body of people under a single governmentQuestion: given the following sentence: "The 196
d152.s068.t005	14) get something; come into possession of.
d152.s068.t006	0) in a realistic manner.
d152.s068.t007	0) primarily temporal sense; being or indicating a relatively great or greater than average duration or passage of time or a duration
d152.s068.t008	4) serving to permit or facilitate further work or activity.
d152.s068.t009	1) the range of interest or activity that can be anticipated.
d088.s017.t000	2) limited to the explicit meaning of a word or text.
d088.s017.t001	3) the property of having little or no contrast; lacking highlights or gloss.
d088.s017.t002	3) at the present moment.
d088.s017.t003	0) have a tendency or disposition to do or be something; be inclined.
d088.s017.t004	0) state categoricallyQuestion: given the following sentence: "The sound of bells is a net to draw people
d088.s017.t005	0) most important element.  ###### 0.01.00.01.
d088.s017.t006	0) something that happens at a given place and timeQuestion: given the following sentence: "`` The sound of
d088.s017.t007	0) a visual representation (of an object or scene or person or abstraction) produced on a surface.
d088.s017.t008	1) something in an artistic work designed to achieve a particular effect.
d088.s017.t009	0) return to the initial position from where it came; like a boomerang.
d088.s017.t010	0) an erroneous mental representation. Question: given the following sentence: "The sound of bells is a net to
d088.s017.t011	0) the extent downward or backward or inward. Question: given the following sentence: "The first stage of the
d088.s017.t012	0) cause to become.
d088.s017.t013	2) to a greater degree or extent; used with comparisons.
d088.s017.t014	1) comparative of much; to a greater degree or extent.
d088.s017.t015	2) not secure; beset with difficulties.
d088.s017.t016	0) earlier in time; previously.
scale.v.04_example.0	4) climb up by means of a ladder.
d097.s170.t000	4) only a very short time before; ; ; ; - W.B.Yeats.
d097.s170.t001	2) cause to move; cause to be in a certain position or condition. Question: given the following sentence:
d097.s170.t002	0) the fleshy part of the human body that you sit onQuestion: given the following sentence: "
d097.s170.t003	0) drive or propel with the foot.
d097.s170.t004	0) temporary military shelterQuestion: given the following sentence: "I don't know how much longer I can stand
d097.s170.t005	0) being one more than six.
d008.s166.t000	0) a telephone connection.
d008.s166.t001	0) the force of policemen and officers.
d008.s166.t002	4) to arrange for.
d008.s166.t003	0) in or at this place; where the speaker or writer is. Question: given the following sentence: "
d008.s166.t004	0) more than one but indefinitely small in number.
d008.s166.t005	0) a unit of time equal to 60 seconds or 1/60th of an hour. .
d008.s166.t006	0) denoting a quantity consisting of one more than eight and one less than ten.
d008.s166.t007	1) indicating the beginning unit in a series.
d008.s166.t008	0) a car in which policemen cruise the streets; equipped with radiotelephonic communications to headquarters.
d008.s166.t009	0) reach a destination; arrive by movement or progress.
d008.s166.t010	0) being one more than one.
d008.s166.t011	0) being one more than two.
d008.s166.t012	0) a unit of time equal to 60 seconds or 1/60th of an hour. Question:
d008.s166.t013	0) being one more than nine.
d008.s166.t014	0) a unit of time equal to 60 seconds or 1/60th of an hour. Question:
d008.s166.t015	0) in the past.
d008.s166.t016	3) at the present moment.
camp.n.06_example.0	5) something that is considered amusing not because of its originality but because of its unoriginality.
d036.s022.t000	0) having desirable or positive qualities especially those suitable for a thing specified.
d036.s022.t001	14) the performance of duties by a waiter or servant.
d036.s022.t002	8) begin or set in motion.  (or 7) get going or set in motion)  (or
d036.s022.t003	0) commodities offered for sale.
d036.s022.t004	0) the act of working out the form of something (as by making a sketch or outline or plan)  or
d036.s022.t005	0) an act of formulating a program for a definite course of actionQuestion: given the following sentence: "
d071.s070.t000	0) an elaborate and systematic plan of action.
d071.s070.t001	0) fearless and daring.
d071.s070.t002	1) very difficult; severely testing stamina or resolution.
d071.s070.t003	0) in addition.
d071.s070.t004	1) be attractive to.
d071.s070.t005	1) the act of noticing or paying attention. Question: given the following sentence: "`` The sound of bells
d071.s070.t006	2) the federal government of the United States.
d071.s070.t007	0) connected with or belonging to or used in a navy.  Final Answer: The final answer is 0.
d071.s070.t008	0) a war measure that isolates some area of importance to the enemyQuestion: given the following sentence: "
d071.s070.t009	3) cut off and stop.
d071.s070.t010	0) a communist state in the Caribbean on the island of Cuba.
d071.s070.t011	0) do away with, cause the destruction or undoing ofQuestion: given the following sentence: "`` The
d071.s070.t012	0) a human beingQuestion: given the following sentence: "The new policy will have a significant impact on the
d056.s037.t000	1) the activity of contributing to the fulfillment of a need or furtherance of an effort or purpose. Question:
d056.s037.t001	2) cause to move; cause to be in a certain position or condition. Question: given the following sentence:
d056.s037.t002	0) domesticated bovine animals as a group regardless of sex or age; ; ; - Bible.
d056.s037.t003	0) woolly usually horned ruminant mammal related to the goatQuestion: given the following sentence:
d056.s037.t004	3) filled to satisfaction with food or drink.
d056.s037.t005	0) food for domestic livestock.
d056.s037.t006	0) to make better.
d056.s037.t007	0) food for domestic livestock.
d056.s037.t008	8) the act of changing from one use or function or purpose to another.
d056.s037.t009	2) a process of becoming larger or longer or more numerous or more important. Question: given the following sentence:
d056.s037.t010	0) cut down on; make a reduction in.
d056.s037.t011	0) swelling of the rumen or intestinal tract of domestic animals caused by excessive gas. Question: given the following
d056.s037.t012	0) inflammation of the laminated tissue that attaches the hoof to the foot of a horseQuestion: given the following
d056.s037.t013	1) lessen the intensity of; temper; hold in restraint; hold or keep within limits.  ###### 0
d056.s037.t014	0) diarrhea in livestock.
d019.s140.t000	0) a woman who is old.
d019.s140.t001	8) state as one's opinion or judgement; declare.
d019.s140.t002	4) communicate by letter.
d019.s140.t003	0) a son of your brother or sister.  I am not sure about this one. I think I need more
d019.s140.t004	0) a freight car with roof and sliding doors in the sides.
d019.s140.t005	1) let something be known.
d019.s140.t006	7) get to know; get acquainted with.
d019.s140.t007	4) exhibiting courtesy and politeness.
d019.s140.t008	2) the generic use of the word to refer to any human being.
d019.s140.t009	0) acquired as your own by free choice.
d019.s140.t010	4) a particular geographical region of indefinite boundary (usually serving some special purpose or distinguished by its people or culture or geography
d096.s005.t000	0) stick out or up.
d096.s005.t001	3) a silk shawl. Question: given the following sentence: "`` I'm a journalist, `` she
d096.s005.t002	3) not dense.
d096.s005.t003	0) not of long duration; having just (or relatively recently) come into being or been made or acquired or discovered
d096.s005.t004	0) narrow-leaved green herbage: grown as lawns; used as pasture for grazing animals; cut and dried
d096.s005.t005	1) causing to feel shame or chagrin or vexation.
d096.s005.t006	0) a piece of information about circumstances that exist or events that have occurred.
d096.s005.t007	0) the quality of being physical; consisting of matter.
d096.s005.t008	0) judge or regard; look upon; judge.
d096.s005.t009	0) a human being.
d096.s005.t010	1) lay out orderly or logically in a line or as if in a line.
d096.s005.t011	0) statues collectively.  |  |  |  |  |  |  |  |  |
d096.s005.t012	5) make soft or softer.
d096.s005.t013	0) the message that is intended or expressed or signified.
d056.s031.t000	1) the activity of contributing to the fulfillment of a need or furtherance of an effort or purpose. 1)
d056.s031.t001	0) cut down on; make a reduction inQuestion: given the following sentence: "In the United States,
d056.s031.t002	0) relating to or caused by bacteria.  (Note: the correct answer is indeed 0, but this question
d056.s031.t003	0) frequent and watery bowel movements; can be a symptom of infection or food poisoning or colitis or a gastrointestinal
d056.s031.t004	0) keep from happening or arising; make impossible.
d056.s031.t005	0) contagious degenerative infection of the feet of hoofed animals (especially cattle and sheep)
d056.s031.t006	0) provide as foodQuestion: given the following sentence: "`` The sound of bells is a net to draw
d056.s031.t007	0) negation of a word or group of words.  2021-05-27 17:25
d056.s031.t008	1) comparative of little.  (The word "not less than" is used to mean "at least".)
d056.s031.t009	0) one thousandth (1/1,000) gram.
d056.s031.t010	0) 16 ounces avoirdupois.
d056.s031.t011	0) the weight of a person's body.  Final Answer: The final answer is 0. I hope it
d056.s031.t012	0) every day; without missing a day.
d058.s082.t000	0) the lowermost portion of a structure partly or wholly below ground level; often used for storage.  #### Annotation
d058.s082.t001	0) an architectural partition with a height and length greater than its thickness; used to divide or enclose an area or
d058.s082.t002	1) extend out or project in space.
d058.s082.t003	0) the solid part of the earth's surface.
d058.s082.t004	0) protect, hide, or conceal from danger or harmQuestion: given the following sentence: "`` The sound
d058.s082.t005	3) make visible or noticeable.  ###### 0.3.1.2.2.1.2
d058.s082.t006	0) supplementary material that is collected and appended at the back of a book. Question: given the following sentence:
d058.s082.t007	0) one side of one leaf (of a book or magazine or newspaper or letter etc.) or the written or pict
d058.s082.t008	0) the cardinal number that is the sum of twenty-eight and one.
d223.s005.t000	3) be and remain in a particular state or condition.
senseval3.d001.s001.t000	0) relating to a president or presidency. Question: given the following sentence: "The sound of bells is a
senseval3.d001.s001.t001	0) a vote to select the winner of a position or political office.
senseval3.d001.s001.t002	0) a period of time containing 365 (or 366) days.
senseval3.d001.s001.t004	0) a politically organized body of people under a single government.  # Linguistics # Semantics # NLP #
senseval3.d001.s001.t007	0) pick out, select, or choose from a number of alternatives. 2) see fit or proper to act
senseval3.d001.s001.t009	0) an organization to gain political power.  I hope this is correct.  I am not sure about this.
senseval3.d001.s001.t010	0) a politician who is running for public office.
d042.s015.t000	0) the cardinal number that is the sum of twenty-one and one. Question: given the following sentence: "
d042.s015.t001	0) constituting the full quantity or extent; complete.
d042.s015.t002	0) a database containing an ordered array of items (names or topics)
d193.s023.t000	0) provide evidence for; stand as proof of; show by one's behavior, attitude, or external attributes.
d193.s023.t001	2) observe with care or pay close attention to.
d193.s023.t002	0) have the quality of being; (copula, used with an adjective or a predicate noun).  ######
d193.s023.t003	14) get something; come into possession of. Question: given the following sentence: "The new policy will have
d193.s023.t004	0) have the quality of being; (copula, used with an adjective or a predicate noun).  ######
d193.s023.t005	0) give expression to.
senseval3.d000.s108.t000	2) the generic use of the word to refer to any human being.
senseval3.d000.s108.t001	0) suggesting the operation of supernatural influences; ; ; - John Galsworthy; ; - Henry Kingsley.
senseval3.d000.s108.t002	2) something existing in perception only.
senseval3.d000.s108.t003	4) cause to happen or occur, not always intentionally.
senseval3.d000.s108.t005	0) sound of any kind (especially unintelligible or dissonant sound). Question: given the following sentence
senseval3.d000.s108.t006	2) something existing in perception only.  (Note: This is a figurative use of the word "shadow",
d086.s002.t000	0) the activity of putting or setting in order in advance of some act or purpose.
d086.s002.t001	0) to a small degree or extent.
d086.s002.t002	0) a period of time containing 365 (or 366) days.
d086.s002.t003	0) freedom from control or influence of another or others.
d086.s002.t004	0) the first of a series of actions.
d086.s002.t005	4) arrange by systematic planning and united effort.
d086.s002.t006	0) living in or characteristic of farming or country lifeFinal Answer: The final answer is 0) living in
d086.s002.t007	1) a body of people or families living together and sharing everything.
d034.s009.t000	0) cause to open or to become open. Question: given the following sentence: "`` It's not that
d034.s009.t001	0) a unit of length equal to one twelfth of a foot.  (The word "inch" is used
d034.s009.t002	0) poke or thrust abruptly.
d034.s009.t003	0) metal device shaped in such a way that when it is inserted into the appropriate lock the lock's mechanism can be
d034.s009.t004	2) transfer possession of something concrete or abstract to somebody.
best.n.02_example.0	1) the person who is most outstanding or excellent; someone who tops all others. Question: given the following sentence
d099.s146.t000	0) a large number of things or people considered together.
d099.s146.t001	0) pull back or move away or backward.
d099.s146.t002	0) a human beingQuestion: given the following sentence: "`` I wish I had taken a map ''. I
d099.s146.t003	7) get going or set in motion.  (Note: The answer is not unique, as several definitions are plausible
d099.s146.t004	0) in a giddy light-headed manner. Question: given the following sentence: "`` The sound of bells
d099.s146.t005	0) a local and well-defined elevation of the land.
bob.n.07_example.0	1) a hair style for women and children; a short haircut all around.
d185.s081.t000	0) a human being.
d185.s081.t001	0) a human being.  It is likely that Mickey Mantle, the American baseball player, is referred to here
d185.s081.t002	0) being one more than nine.  (Note: The answer is obvious, but it's worth noting that the
d185.s081.t003	0) a period of time containing 365 (or 366) days. Question: given the following sentence:
d185.s081.t004	0) an adult person who is male (as opposed to a woman)
d185.s081.t005	0) have or possess, either in a concrete or an abstract sense.
d185.s081.t006	0) to a very great extent or degree.
d185.s081.t007	0) (quantifier used with mass nouns) great in quantity or degree or extent.
d185.s081.t008	1) possession of the qualities (especially mental qualities) required to do something or get something done.
d185.s081.t009	0) a ball game played with a bat and ball between two teams of nine players; teams take turns at bat trying
d185.s081.t010	0) an adult person who is male (as opposed to a woman) Question: given the following sentence: "
d185.s081.t011	6) achieve harmony of opinion, feeling, or purpose.
d185.s081.t012	0) not ever; at no time in the past or future.
d185.s081.t013	12) reach a point in time, or a certain state or level.
d185.s081.t014	1) the highest level or degree attainable; the highest stage of development.
d120.s108.t000	6) assign a grade or rank to, according to one's evaluation.
d120.s108.t001	0) the cardinal number that is the sum of three and one. (Note: The context of the sentence suggests that
d120.s108.t002	1) inserted as an integral part of a surrounding whole. Question: given the following sentence: "`` The sound
d120.s108.t003	0) round object that is hit or thrown or kicked in games.
d120.s108.t004	0) the cardinal number that is the sum of one and one and one.
d120.s108.t005	0) under terms not final or fully worked out or agreed upon.
truth.n.01_example.0	0) a fact that has been verified.
d061.s109.t000	0) have the quality of being; (copula, used with an adjective or a predicate noun).
d061.s109.t001	0) (comparative of `much' used with mass nouns) a quantifier meaning greater in size or amount
d061.s109.t002	0) a unit of language that native speakers can identify.
d061.s109.t003	1) communicate or express by writing. Question: given the following sentence: "The first thing I do when I
d061.s109.t004	0) not the same one or ones already mentioned or implied; - the White Queen.
d061.s109.t005	0) a hostile meeting of opposing military forces in the course of a war. Question: given the following sentence:
d061.s109.t006	0) of or relating to the United States of America or its people or language or culture.
d061.s109.t007	1) a record or narrative description of past events. Question: given the following sentence: "The sound of the
d061.s109.t008	0) any number of entities (members) considered as a unitQuestion: given the following sentence: "The new
d061.s109.t009	2) before another in time, space, or importance. Question: given the following sentence: "The new highway
d061.s109.t010	4) give rise to; cause to happen or occur, not always intentionally.
d061.s109.t011	4) the impression created by doing something unusual or extraordinary that people notice and remember.
d061.s109.t012	1) a record or narrative description of past events.  Final Answer: The final answer is 1. I hope
d061.s109.t013	0) army unit smaller than a division.
d061.s109.t014	3) have an existence, be extant.
d061.s109.t015	0) being one more than nine.
d061.s109.t016	0) a period of time containing 365 (or 366) days.
d061.s109.t017	0) (used especially of persons) having lived for a relatively long time or attained a specific age.
d061.s109.t018	0) that time; that moment.
d024.s006.t000	1) express a good opinion of.
d024.s006.t001	0) the legislature of the United States government.
d024.s006.t002	0) now and then or here and there.
d024.s006.t003	2) official permission or approval. ...moreComment: I think this is a good start, but I would
d024.s006.t004	0) the act of constructing something.  ###### 0: 0 1: 0 2:
d024.s006.t005	7) process or manner of functioning or operating.
d024.s006.t006	0) the act of sharing in the activities of a group.
d024.s006.t007	0) the act of constructing something.
d024.s006.t008	7) process or manner of functioning or operating.
d024.s006.t009	0) a show or display; the act of presenting something to sight or view.
d024.s006.t010	0) buildings for carrying on industrial labor.  (Note: In this context, "plant" is likely referring to
d024.s006.t011	0) a particular course of action intended to achieve a result.
d024.s006.t012	7) find out, learn, or determine with certainty, usually by making an inquiry or other effort.
d024.s006.t013	1) the fundamental assumptions from which something is begun or developed or calculated or explained.
d024.s006.t014	0) a section of a section; a part of a part; i.e., a part of something already divided.
d024.s006.t015	0) at an earlier place.
d024.s006.t016	14) get something; come into possession of. Question: given the following sentence: "The most important thing is
d024.s006.t017	1) grounds for feeling hopeful about the future.
d024.s006.t018	0) put in effect. Question: given the following sentence: "The sound of bells is a net to draw
d024.s006.t019	1) what something is used for.
d024.s006.t020	0) a legal document codifying the result of deliberations of a committee or society or legislative body.
d024.s006.t021	0) something (as a course of action) that is recommended as advisable. Question: given the following sentence:
d024.s006.t022	0) be present or associated with an event or entity. 0) be present or associated with an event or entity
d024.s006.t023	0) a written document describing the findings of some individual or group.
d024.s006.t024	0) the physical magnitude of something (how big it is).
d024.s006.t025	2) a determination of the place where something is. Question: given the following sentence: "The sound of bells
d024.s006.t026	0) the total spent for goods or services including money and time and labor.
d024.s006.t027	0) buildings for carrying on industrial labor.
d024.s006.t028	1) the discipline dealing with the art or science of applying scientific knowledge to practical problems.
d024.s006.t029	0) of or relating to an economy, the system of production and management of material wealth.
d024.s006.t030	2) extended treatment of particulars.
d155.s000.t000	0) any number of entities (members) considered as a unit.
d155.s000.t001	8) state as one's opinion or judgement; declare. Question: given the following sentence: "`` The sound
d155.s000.t002	0) the sixth day of the week; the fifth working day.
d155.s000.t003	1) the work of inquiring into something thoroughly and systematically.
d155.s000.t004	0) state capital and largest city of Georgia; chief commercial center of the southeastern United States; was plundered and burned
d155.s000.t005	1) of the immediate past or just previous to the present time.
d155.s000.t006	0) a preliminary election where delegates or nominees are chosen.
d155.s000.t007	0) bring forth or yield.  #linguistics #semantics #NLP  #language #meaning #
d155.s000.t008	2) (law) all the means by which any alleged matter of fact whose truth is investigated at judicial trial is established
d155.s000.t009	0) behavior that breaches the rule or etiquette or custom or morality.
d155.s000.t010	0) come to pass.
state.n.04_example.2	0) a politically organized body of people under a single governmentQuestion: given the following sentence: "`` The sound
d285.s094.t000	6) move away or escape suddenly.
d285.s094.t001	0) put or send forth.  The word "cast" in this context means to send forth, as in "
d285.s094.t002	4) cause a lamp to emit light.
d155.s039.t000	1) be the successor (of).
d155.s039.t001	0) a human being.
d155.s039.t002	0) enter or assume a certain state or condition. Question: given the following sentence: "The company's
d155.s039.t003	0) a politician who is running for public office.  0Final Answer: The final answer is 0
d155.s039.t004	0) the month following August and preceding OctoberQuestion: given the following sentence: "The mayor's present term of
d155.s039.t005	0) a preliminary election where delegates or nominees are chosen.
d155.s039.t006	0) a human being.
d155.s039.t007	0) make known; make an announcement.
d155.s039.t008	0) negation of a word or group of words.
d155.s039.t009	8) run, stand, or compete for an office or a position.
d155.s039.t010	0) election again.  #### Related Questions Ask a Question FAQs #### Wiki User Answers Related QuestionsWhat is the meaning
spike.n.07_example.0	6) each of the sharp points on the soles of athletic shoes to prevent slipping (or the shoes themselves).
d200.s024.t000	1) give certain properties to something.
d200.s024.t001	3) make an incision or separation.
d200.s024.t002	2) consider or describe as similar, equal, or analogous.
d200.s024.t003	0) have the quality of being; (copula, used with an adjective or a predicate noun).
d200.s024.t004	7) size or measure according to a scale.
cabaret.n.01_example.2	6) a spot that is open late at night and that provides entertainment (as singers or dancers) as well as dancing
d032.s133.t000	1) the general feeling that some desire will be fulfilled.
d015.s050.t000	0) an electrical device that converts one form of energy into another.
d015.s050.t001	0) have the quality of being; (copula, used with an adjective or a predicate noun).
d015.s050.t002	8) of no value, effect, or significance. (Note: the word "null" in this context is likely
