d058.s043.t000	shelter.n.h.01
d015.s050.t005	employ.v.h.01
d015.s050.t006	stretched.a.h.01
d015.s050.t007	diaphragm.n.h.01 (electro-acoustic transducer)
d015.s050.t008	in.n.h.01
d015.s050.t009	thick.a.h.01
d015.s050.t010	1.a.h.01
d015.s050.t011	in.n.h.01
d015.s050.t012	diameter.n.h.01
down.n.02_example.0	down.n.h.02.
d146.s020.t000	misty.a.h.01
d146.s020.t001	gray.n.h.01: ['a neutral achromatic color midway between white and black']
d146.s020.t002	rain.n.h.01
d146.s020.t003	see.v.h.01: ['see or watch', 'find out, learn, or determine with certainty
d146.s020.t004	hutment.n.h.01
d146.s020.t005	low.a.h.01
d146.s020.t006	bantam.a.h.01
d146.s020.t007	log_cabin.n.h.01
d146.s020.t008	chinked.a.h.01
d146.s020.t009	mud.n.h.01
d146.s020.t010	doorway.n.h.01
d146.s020.t011	man.n.h.01
d146.s020.t012	crouch.v.h.01
d146.s020.t013	get.v.h.01: ['come into the possession of something','receive a specified treatment', '
d146.s020.t014	roof.n.h.01
d146.s020.t015	bivouacking.n.h.01
d146.s020.t016	lay_over.v.h.01: ['place on top of']
d146.s020.t017	bough.n.h.01
d146.s020.t018	board.n.h.05
d146.s020.t019	hardtack.n.h.01
d146.s020.t020	box.n.h.01.
d146.s020.t021	fence_rail.n.h.02 : [rails used in constructing a fence]
d146.s020.t022	cranky.a.h.01 : ['easily irritated or annoyed']
d146.s020.t023	chimney.n.h.01
d146.s020.t024	stick.n.h.01
d146.s020.t025	dry.a.h.01
d146.s020.t026	mud.n.h.01
d001.s049.t000	person.n.h.01Explanation:The target word "Mr. Hohlbein
d001.s049.t001	be.v.h.01 : ['have an existence, be extant', 'happen, occur, take
d001.s049.t002	day.n.h.02
d001.s049.t003	person.n.h.01
d001.s049.t004	be.v.h.01 : ['have an existence, be extant', 'happen, occur, take
d001.s049.t005	free.a.h.01
d029.s011.t000	insight.n.h.01
d029.s011.t001	nature.n.h.01 (essential qualities or characteristics, causal agent creating and controlling things, natural physical
d029.s011.t002	art.n.h.01
d029.s011.t003	be.v.h.01
d029.s011.t004	insufficient.a.h.01
d029.s011.t005	thoroughgoing.a.h.01
d029.s011.t006	philosophy.n.h.02
d029.s011.t007	art.n.h.01
d029.s011.t008	peculiar.a.h.01
d029.s011.t009	authenticity.n.h.01
d029.s011.t010	day.n.h.02
d029.s011.t011	age.n.h.01
d029.s011.t012	require.v.h.01
d029.s011.t013	take.v.h.01: ['receive willingly something given or offered', 'accept or undergo,
d029.s011.t014	seriously.r.h.01
d029.s011.t015	give.v.h.01
d029.s011.t016	promise.n.h.01
d029.s011.t017	very.a.h.02: ['to a great degree; extremely; very much:']
d029.s011.t018	substance.n.h.01: ['the choicest or most essential or most vital part of some idea
d029.s011.t019	new.a.h.01
d029.s011.t020	valid.a.h.01
d029.s011.t021	The corresponding homonym key for the word "chapters" in the given sentence is: chapter.n.h.0
d029.s011.t022	philosophy.n.h.02
d029.s011.t023	art.n.h.01
d029.s011.t024	write.v.h.01
pack.v.01_example.0	pack.v.h.01
d101.s040.t000	cast.n.h.02
d160.s069.t000	substance.n.h.01
d160.s069.t001	detergent.n.h.01
d160.s069.t002	active.n.h.01
d160.s069.t003	also.r.h.01
d160.s069.t004	be\_given.v.h.01
d160.s069.t005	strongly.r.h.01
d160.s069.t006	sorb.v.h.01
d160.s069.t007	aqueous.a.h.01
d160.s069.t008	medium.n.h.01
d160.s069.t009	surface.n.h.01
d160.s069.t010	other.a.h.01
d160.s069.t011	contiguous.a.h.01
d160.s069.t012	phase.n.h.02
lie.v.05_example.1	lie.v.h.02
d127.s028.t000	drama.n.h.01
d127.s028.t001	theater.n.h.01
d127.s028.t002	concert.n.h.01
d127.s028.t003	hall.n.h.02.
d127.s028.t004	have.v.h.01: ['have or possess', 'organize or be responsible for','receive
d127.s028.t005	fixed.a.h.03: ['securely placed or fastened or set']
d127.s028.t006	time.n.h.01
d127.s028.t007	time.n.h.01
d127.s028.t008	fix.v.h.01: ['decide upon or fix definitely']
d127.s028.t009	director.n.h.01.Explanation: The context of the sentence suggests that the director is
d127.s028.t010	player.n.h.02
d127.s028.t011	conductor.n.h.01
d127.s028.t012	instrumentalist.n.h.01
d127.s028.t013	therefore.r.h.01
d127.s028.t014	much.a.h.01
d127.s028.t015	variation.n.h.01
d127.s028.t016	record.n.h.01 (phonograph record, sound recording)
d127.s028.t017	collector.n.h.01. [The person who collects things.]
d127.s028.t018	well.r.h.01: ["with prudence or propriety", "favorably; with approval
d127.s028.t019	know.v.h.01
d022.s023.t000	take.v.h.01: ['require (time or space)']
d022.s023.t001	man.n.h.01
d022.s023.t002	longer.r.h.01
d022.s023.t003	write.v.h.01
d022.s023.t004	letter.n.h.01
d022.s023.t005	shave.v.h.01
d022.s023.t006	clean_out.v.h.01
d022.s023.t007	barn.n.h.01
d022.s023.t008	read.v.h.01
d022.s023.t009	newspaper.n.h.01
d022.s023.t010	man.n.h.01
d022.s023.t011	30.a.h.01
d098.s066.t000	witness.n.h.01
d098.s066.t001	court.n.h.01.
d098.s066.t002	ask.v.h.01
d098.s066.t003	kick.v.h.01
d098.s066.t004	ensue.v.h.01
d098.s066.t005	ruckus.n.h.01
d098.s066.t006	reply.v.h.01
d098.s066.t007	be.v.h.01 : ['happen, occur, take place']
d098.s066.t008	stomach.n.h.01
d171.s012.t000	this\_evening.r.h.01
d171.s012.t001	group.n.h.01
d171.s012.t002	man.n.h.01
d171.s012.t003	tomorrow.n.h.01
d171.s012.t004	night.n.h.01
d171.s012.t005	go_out.v.h.01
d171.s012.t006	there.r.h.01
d171.s012.t007	someplace.r.h.01
d171.s012.t008	wait.v.h.01
d035.s024.t000	industry.n.h.01
d035.s024.t001	model.n.h.01
d035.s024.t002	be.v.h.01
d035.s024.t003	so.r.h.01: ['from that fact or reason or as a result', 'in truth (o
d035.s024.t004	important.a.h.01
d035.s024.t005	pay.n.h.01
d035.s024.t006	price.n.h.02
d035.s024.t007	policy.n.h.01
d035.s024.t008	affect.v.h.01
d035.s024.t009	public.a.h.01
d035.s024.t010	interest.n.h.05
d240.s068.t000	ask.v.h.01
d240.s068.t001	pick.v.h.01
d240.s068.t002	give.v.h.01
d240.s068.t003	affect.v.h.01
d068.s089.t000	The correct answer is: bob.v.h.01.
d068.s089.t001	head.n.h.01
d068.s089.t002	each.a.h.01
d068.s089.t003	The target word in the sentence is not "time." The sentence is about the driver speaking Spanish and the word "time"
d068.s089.t004	appear.v.h.01
d005.s030.t000	person.n.h.01.
d005.s030.t001	remodel.v.h.01
d005.s030.t002	person.n.h.01.
d005.s030.t003	note.n.h.01.Explanation: In the context of the sentence, "notes"
d005.s030.t004	essay.n.h.01
d005.s030.t005	french.n.h.01
d005.s030.t006	submit.v.h.01
d005.s030.t007	group.n.h.03: ['a learned society or association, especially one that sponsors research or the arts
d005.s030.t008	prize.n.h.01
d005.s030.t009	franc.n.h.01
d141.s067.t000	coat.n.h.01
d141.s067.t001	look_like.v.h.01
d141.s067.t002	rag.n.h.01
d141.s067.t003	heap.n.h.01
d141.s101.t000	dig.v.h.01
d141.s101.t001	hole.n.h.05
d141.s101.t002	bulb.n.h.01
d141.s101.t003	tree.n.h.01
d141.s101.t004	wear.v.h.01 : ['have or show an appearance of']
d141.s101.t005	tag.n.h.01.
d141.s101.t006	writing.n.h.01
d141.s101.t007	go.v.h.01: ['begin or set in motion', 'have a turn; make one's
d141.s101.t008	gardening.n.h.01
d141.s101.t009	now.r.h.01: ['at the present moment', 'without delay or hesitation']
d185.s056.t000	person.n.h.01
d185.s056.t001	junior.n.h.02
d185.s056.t002	group.n.h.01
d185.s056.t003	commend.v.h.01
d185.s056.t004	ability.n.h.01
d185.s056.t005	hit.v.h.01: ['hit with a missile from a weapon', 'gain points in a game
d185.s056.t006	clutch.n.h.01.
d185.s056.t007	also.r.h.01
d185.s056.t008	all-around.a.h.01
d185.s056.t009	excellent.a.h.01
d185.s056.t010	play.n.h.03: 'a deliberate coordinated movement requiring dexterity and skill', '
d176.s101.t000	complexity.n.h.01
d176.s101.t001	communication.n.h.01
d176.s101.t002	considerably.r.h.01
d176.s101.t003	abet.v.h.01
d176.s101.t004	case.n.h.01
d176.s101.t005	appropriately.r.h.01
d176.s101.t006	stilted.a.h.01
d176.s101.t007	english_language.n.h.01
d176.s101.t008	excellently.r.h.01
d176.s101.t009	dub.v.h.02
d176.s101.t010	The sentence does not directly mention the word "Russian" as a homonym, but rather describes the Russian language and the
d176.s101.t011	dialogue.n.h.01
pose.v.03_example.0	pose.v.h.01
d274.s001.t000	be.v.h.01
d274.s001.t001	be.v.h.01
d274.s001.t002	see.v.h.01: ['see or watch', 'find out, learn, or determine with certainty
d274.s001.t003	line.v.h.01
semeval2015.d002.s015.t000	foundation.n.h.02
semeval2015.d002.s015.t001	aim.v.h.01
semeval2015.d002.s015.t002	document.v.h.01
semeval2015.d002.s015.t003	characteristic.n.h.01
semeval2015.d002.s015.t004	age.n.h.01
semeval2015.d002.s015.t005	barrier.n.h.02
semeval2015.d002.s015.t006	job.n.h.02
semeval2015.d002.s015.t008	training.n.h.01
semeval2015.d002.s015.t009	analyse.v.h.01
semeval2015.d002.s015.t010	cause.n.h.01
