d058.s043.t000	shelter.n.h.01.
d088.s017.t003	tend.v.h.02.
d088.s017.t004	assert.v.h.01.
d088.s017.t005	main.a.h.01.
d088.s017.t006	event.n.h.01.
d088.s017.t007	picture.n.h.01.
d088.s017.t008	device.n.h.01.
d088.s017.t009	boomerang.v.h.01.
d088.s017.t010	illusion.n.h.01.
d088.s017.t011	depth.n.h.01.
d088.s017.t012	render.v.h.01.
d088.s017.t013	even.r.h.01.
d088.s017.t014	more.r.h.01.
d088.s017.t015	precarious.a.h.01.
d088.s017.t016	before.r.h.01.
scale.v.04_example.0	scale.v.h.03.
d097.s170.t000	just.r.h.01.
d097.s170.t001	get.v.h.01.
d097.s170.t002	ass.n.h.02.
d097.s170.t003	kick.v.h.01.
d097.s170.t004	hut.n.h.01.
d097.s170.t005	7.a.h.01.
d008.s166.t000	call.n.h.01.
d008.s166.t001	constabulary.n.h.01.
d008.s166.t002	place.v.h.01.
d008.s166.t003	here.r.h.01.
d008.s166.t004	a_couple_of.a.h.01.
d008.s166.t005	minute.n.h.01.
d008.s166.t006	9.a.h.01.
d008.s166.t007	first.a.h.01.
d008.s166.t008	patrol_car.n.h.01.
d008.s166.t009	arrive.v.h.01.
d008.s166.t010	2.a.h.01.
d008.s166.t011	3.a.h.01.
d008.s166.t012	minute.n.h.01.
d008.s166.t013	10.a.h.01.
d008.s166.t014	minute.n.h.01.
d008.s166.t015	ago.r.h.01.
d008.s166.t016	now.r.h.01.
camp.n.06_example.0	camp.n.h.02.
d036.s022.t000	good.a.h.01.
d036.s022.t001	service.n.h.01.
d036.s022.t002	start.v.h.01.
d036.s022.t003	product.n.h.01.
d036.s022.t004	design.n.h.01.
d036.s022.t005	planning.n.h.01.
d071.s070.t000	strategy.n.h.01.
d071.s070.t001	bold.a.h.01.
d071.s070.t002	tough.a.h.01.
d071.s070.t003	also.r.h.01.
d071.s070.t004	attract.v.h.01.
d071.s070.t005	notice.n.h.01.
d071.s070.t006	washington.n.h.04.
d071.s070.t007	naval.a.h.01.
d071.s070.t008	blockade.n.h.01.
d071.s070.t009	cut_off.v.h.01.
d071.s070.t010	cuba.n.h.01.
d071.s070.t011	destroy.v.h.01.
d071.s070.t012	person.n.h.01.
d056.s037.t000	aid.n.h.02.
d056.s037.t001	get.v.h.01.
d056.s037.t002	bos_taurus.n.h.01.
d056.s037.t003	sheep.n.h.01.
d056.s037.t004	full.a.h.01.
d056.s037.t005	feed.n.h.01.
d056.s037.t006	ameliorate.v.h.01.
d056.s037.t007	feed.n.h.01.
d056.s037.t008	conversion.n.h.01.
d056.s037.t009	growth.n.h.01.
d056.s037.t010	reduce.v.h.01.
d056.s037.t011	bloat.n.h.01.
d056.s037.t012	founder.n.h.03.
d056.s037.t013	control.v.h.01.
d056.s037.t014	scours.n.h.01.
d019.s140.t000	old_woman.n.h.01.
d019.s140.t001	say.v.h.01.
d019.s140.t002	write.v.h.01.
d019.s140.t003	nephew.n.h.01.
d019.s140.t004	boxcar.n.h.01.
d019.s140.t005	tell.v.h.01.
d019.s140.t006	meet.v.h.01.
d019.s140.t007	nice.a.h.01.
d019.s140.t008	man.n.h.01.
d019.s140.t009	adopted.a.h.01.
d019.s140.t010	country.n.h.01.
d096.s005.t000	bulk.v.h.01.
d096.s005.t001	veil.n.h.01.
d096.s005.t002	thin.a.h.01.
d096.s005.t003	new.a.h.01.
d096.s005.t004	grass.n.h.02.
d096.s005.t005	embarrassing.a.h.01.
d096.s005.t006	fact.n.h.01.
d096.s005.t007	corporality.n.h.01.
d096.s005.t008	think.v.h.01.
d096.s005.t009	person.n.h.01.
d096.s005.t010	set_out.v.h.01.
d096.s005.t011	statuary.n.h.01.
d096.s005.t012	soften.v.h.01.
d096.s005.t013	meaning.n.h.01.
d056.s031.t000	aid.n.h.02.
d056.s031.t001	reduce.v.h.01.
d056.s031.t002	bacterial.a.h.01.
d056.s031.t003	diarrhea.n.h.01.
d056.s031.t004	prevent.v.h.01.
d056.s031.t005	foot_rot.n.h.01.
d056.s031.t006	feed.v.h.01.
d056.s031.t007	non.r.h.01.
d056.s031.t008	less.r.h.01.
d056.s031.t009	mg.n.h.03.
d056.s031.t010	pound.n.h.02.
d056.s031.t011	body_weight.n.h.01.
d056.s031.t012	daily.r.h.01.
d058.s082.t000	basement.n.h.01.
d058.s082.t001	wall.n.h.01.
d058.s082.t002	project.v.h.01.
d058.s082.t003	ground.n.h.01.
d058.s082.t004	shield.v.h.01.
d058.s082.t005	show.v.h.01.
d058.s082.t006	appendix.n.h.01.
d058.s082.t007	page.n.h.02.
d058.s082.t008	29.n.h.01.
d223.s005.t000	lie.v.h.01.
senseval3.d001.s001.t000	presidential.a.h.01.
senseval3.d001.s001.t001	election.n.h.01.
senseval3.d001.s001.t002	year.n.h.01.
senseval3.d001.s001.t004	nation.n.h.01.
senseval3.d001.s001.t007	choose.v.h.01.
senseval3.d001.s001.t009	party.n.h.01.
senseval3.d001.s001.t010	candidate.n.h.01.
d042.s015.t000	22.n.h.01.
d042.s015.t001	total.a.h.01.
d042.s015.t002	list.n.h.01.
d193.s023.t000	evidence.v.h.01.
d193.s023.t001	note.v.h.01.
d193.s023.t002	be.v.h.01.
d193.s023.t003	have.v.h.01.
d193.s023.t004	be.v.h.01.
d193.s023.t005	express.v.h.01.
senseval3.d000.s108.t000	man.n.h.01.
senseval3.d000.s108.t001	uncanny.a.h.01.
senseval3.d000.s108.t002	shadow.n.h.01.
senseval3.d000.s108.t003	make.v.h.01.
senseval3.d000.s108.t005	noise.n.h.01.
senseval3.d000.s108.t006	shadow.n.h.01.
d086.s002.t000	preparation.n.h.01.
d086.s002.t001	slightly.r.h.01.
d086.s002.t002	year.n.h.01.
d086.s002.t003	independence.n.h.01.
d086.s002.t004	first_step.n.h.01.
d086.s002.t005	organise.v.h.01.
d086.s002.t006	rural.a.h.01.
d086.s002.t007	commune.n.h.01.
d034.s009.t000	open.v.h.01.
d034.s009.t001	inch.n.h.01.
d034.s009.t002	poke.v.h.01.
d034.s009.t003	key.n.h.01.
d034.s009.t004	give.v.h.01.
best.n.02_example.0	best.n.h.03.
d099.s146.t000	crowd.n.h.01.
d099.s146.t001	move_back.v.h.01.
d099.s146.t002	person.n.h.01.
d099.s146.t003	start.v.h.01.
d099.s146.t004	dizzyly.r.h.01.
d099.s146.t005	hill.n.h.06.
bob.n.07_example.0	bob.n.h.03.
d185.s081.t000	person.n.h.01.
d185.s081.t001	person.n.h.01.
d185.s081.t002	10.a.h.01.
d185.s081.t003	year.n.h.01.
d185.s081.t004	man.n.h.01.
d185.s081.t005	have.v.h.01.
d185.s081.t006	so.r.h.01.
d185.s081.t007	much.a.h.01.
d185.s081.t008	ability.n.h.01.
d185.s081.t009	baseball.n.h.01.
d185.s081.t010	man.n.h.01.
d185.s081.t011	agree.v.h.01.
d185.s081.t012	never.r.h.01.
d185.s081.t013	hit.v.h.01.
d185.s081.t014	height.n.h.01.
d120.s108.t000	score.v.h.01.
d120.s108.t001	4.n.h.01.
d120.s108.t002	embedded.a.h.01.
d120.s108.t003	ball.n.h.03.
d120.s108.t004	3.n.h.01.
d120.s108.t005	probationary.a.h.01.
truth.n.01_example.0	truth.n.h.02.
d061.s109.t000	be.v.h.01.
d061.s109.t001	more.a.h.01.
d061.s109.t002	word.n.h.01.
d061.s109.t003	write.v.h.01.
d061.s109.t004	other.a.h.01.
d061.s109.t005	battle.n.h.01.
d061.s109.t006	american.a.h.01.
d061.s109.t007	history.n.h.01.
d061.s109.t008	group.n.h.01.
d061.s109.t009	first.r.h.01.
d061.s109.t010	make.v.h.01.
d061.s109.t011	mark.n.h.01.
d061.s109.t012	history.n.h.01.
d061.s109.t013	regiment.n.h.01.
d061.s109.t014	be.v.h.01.
d061.s109.t015	10.a.h.01.
d061.s109.t016	year.n.h.01.
d061.s109.t017	old.a.h.01.
d061.s109.t018	then.n.h.01.
d024.s006.t000	recommend.v.h.01.
d024.s006.t001	congress.n.h.01.
d024.s006.t002	at_times.r.h.01.
d024.s006.t003	authorisation.n.h.01.
d024.s006.t004	construction.n.h.01.
d024.s006.t005	operation.n.h.01.
d024.s006.t006	participation.n.h.01.
d024.s006.t007	construction.n.h.01.
d024.s006.t008	operation.n.h.01.
d024.s006.t009	demonstration.n.h.01.
d024.s006.t010	plant.n.h.01.
d024.s006.t011	process.n.h.01.
d024.s006.t012	determine.v.h.01.
d024.s006.t013	basis.n.h.01.
d024.s006.t014	subsection.n.h.01.
d024.s006.t015	above.r.h.01.
d024.s006.t016	have.v.h.01.
d024.s006.t017	promise.n.h.01.
d024.s006.t018	accomplish.v.h.01.
d024.s006.t019	purpose.n.h.01.
d024.s006.t020	act.n.h.03.
d024.s006.t021	recommendation.n.h.01.
d024.s006.t022	accompany.v.h.01.
d024.s006.t023	report.n.h.01.
d024.s006.t024	size.n.h.01.
d024.s006.t025	location.n.h.01.
d024.s006.t026	cost.n.h.01.
d024.s006.t027	plant.n.h.01.
d024.s006.t028	engineering.n.h.01.
d024.s006.t029	economic.a.h.01.
d024.s006.t030	detail.n.h.01.
d155.s000.t000	group.n.h.01.
d155.s000.t001	say.v.h.01.
d155.s000.t002	fri.n.h.01.
d155.s000.t003	investigation.n.h.01.
d155.s000.t004	atlanta.n.h.01.
d155.s000.t005	recent.a.h.01.
d155.s000.t006	primary_election.n.h.01.
d155.s000.t007	produce.v.h.01.
d155.s000.t008	evidence.n.h.01.
d155.s000.t009	irregularity.n.h.01.
d155.s000.t010	come_about.v.h.01.
state.n.04_example.2	nation.n.h.01.
d285.s094.t000	break.v.h.01.
d285.s094.t001	cast.v.h.01.
d285.s094.t002	burn.v.h.01.
d155.s039.t000	succeed.v.h.01.
d155.s039.t001	person.n.h.01.
d155.s039.t002	become.v.h.01.
d155.s039.t003	candidate.n.h.01.
d155.s039.t004	sep.n.h.01.
d155.s039.t005	primary.n.h.01.
d155.s039.t006	person.n.h.01.
d155.s039.t007	announce.v.h.01.
d155.s039.t008	non.r.h.01.
d155.s039.t009	run.v.h.01.
d155.s039.t010	reélection.n.h.01.
spike.n.07_example.0	spike.n.h.01.
d200.s024.t000	make.v.h.01.
d200.s024.t001	cut.v.h.01.
d200.s024.t002	compare.v.h.01.
d200.s024.t003	be.v.h.01.
d200.s024.t004	scale.v.h.03.
cabaret.n.01_example.2	club.n.h.01.
d032.s133.t000	hope.n.h.02.
d015.s050.t000	transducer.n.h.01.
d015.s050.t001	be.v.h.01.
d015.s050.t002	null.a.h.01.
d015.s050.t003	type.n.h.01.
d015.s050.t004	instrument.n.h.01.
d015.s050.t005	employ.v.h.01.
d015.s050.t006	stretched.a.h.01.
d015.s050.t007	diaphragm.n.h.01.
d015.s050.t008	in.n.h.01.
d015.s050.t009	thick.a.h.01.
d015.s050.t010	1.a.h.01.
d015.s050.t011	in.n.h.01.
d015.s050.t012	diameter.n.h.01.
down.n.02_example.0	down.n.h.02.
d146.s020.t000	misty.a.h.01.
d146.s020.t001	gray.n.h.04.
d146.s020.t002	rain.n.h.01.
d146.s020.t003	see.v.h.01.
d146.s020.t004	hutment.n.h.01.
d146.s020.t005	low.a.h.01.
d146.s020.t006	bantam.a.h.01.
d146.s020.t007	log_cabin.n.h.01.
d146.s020.t008	chinked.a.h.01.
d146.s020.t009	mud.n.h.02.
d146.s020.t010	doorway.n.h.01.
d146.s020.t011	man.n.h.01.
d146.s020.t012	crouch.v.h.01.
d146.s020.t013	get.v.h.01.
d146.s020.t014	roof.n.h.01.
d146.s020.t015	bivouacking.n.h.01.
d146.s020.t016	lay_over.v.h.01.
d146.s020.t017	bough.n.h.01.
d146.s020.t018	board.n.h.01.
d146.s020.t019	hardtack.n.h.01.
d146.s020.t020	box.n.h.01.
d146.s020.t021	fence_rail.n.h.01.
d146.s020.t022	cranky.a.h.01.
d146.s020.t023	chimney.n.h.01.
d146.s020.t024	stick.n.h.01.
d146.s020.t025	dry.a.h.01.
d146.s020.t026	mud.n.h.02.
d001.s049.t000	person.n.h.01.
d001.s049.t001	be.v.h.01.
d001.s049.t002	day.n.h.02.
d001.s049.t003	person.n.h.01.
d001.s049.t004	be.v.h.01.
d001.s049.t005	free.a.h.01.
d029.s011.t000	insight.n.h.01.
d029.s011.t001	nature.n.h.01.
d029.s011.t002	art.n.h.01.
d029.s011.t003	be.v.h.01.
d029.s011.t004	insufficient.a.h.01.
d029.s011.t005	thoroughgoing.a.h.01.
d029.s011.t006	philosophy.n.h.02.
d029.s011.t007	art.n.h.01.
d029.s011.t008	peculiar.a.h.01.
d029.s011.t009	authenticity.n.h.01.
d029.s011.t010	day.n.h.02.
d029.s011.t011	age.n.h.01.
d029.s011.t012	require.v.h.01.
d029.s011.t013	take.v.h.01.
d029.s011.t014	seriously.r.h.01.
d029.s011.t015	give.v.h.01.
d029.s011.t016	promise.n.h.01.
d029.s011.t017	very.a.h.01.
d029.s011.t018	substance.n.h.01.
d029.s011.t019	new.a.h.01.
d029.s011.t020	valid.a.h.01.
d029.s011.t021	chapter.n.h.01.
d029.s011.t022	philosophy.n.h.02.
d029.s011.t023	art.n.h.01.
d029.s011.t024	write.v.h.01.
pack.v.01_example.0	pack.v.h.01.
d101.s040.t000	cast.n.h.02.
d160.s069.t000	substance.n.h.01.
d160.s069.t001	detergent.n.h.01.
d160.s069.t002	active.n.h.01.
d160.s069.t003	also.r.h.01.
d160.s069.t004	be_given.v.h.01.
d160.s069.t005	strongly.r.h.01.
d160.s069.t006	sorb.v.h.01.
d160.s069.t007	aqueous.a.h.01.
d160.s069.t008	medium.n.h.01.
d160.s069.t009	surface.n.h.01.
d160.s069.t010	other.a.h.01.
d160.s069.t011	contiguous.a.h.01.
d160.s069.t012	phase.n.h.01.
lie.v.05_example.1	lie.v.h.02.
d127.s028.t000	drama.n.h.01.
d127.s028.t001	theater.n.h.01.
d127.s028.t002	concert.n.h.01.
d127.s028.t003	hall.n.h.02.
d127.s028.t004	have.v.h.01.
d127.s028.t005	fixed.a.h.01.
d127.s028.t006	time.n.h.01.
d127.s028.t007	time.n.h.01.
d127.s028.t008	fix.v.h.01.
d127.s028.t009	director.n.h.03.
d127.s028.t010	player.n.h.02.
d127.s028.t011	conductor.n.h.01.
d127.s028.t012	instrumentalist.n.h.01.
d127.s028.t013	therefore.r.h.01.
d127.s028.t014	much.a.h.01.
d127.s028.t015	variation.n.h.01.
d127.s028.t016	record.n.h.01.
d127.s028.t017	collector.n.h.01.
d127.s028.t018	well.r.h.01.
d127.s028.t019	know.v.h.01.
d022.s023.t000	take.v.h.01.
d022.s023.t001	man.n.h.01.
d022.s023.t002	longer.r.h.01.
d022.s023.t003	write.v.h.01.
d022.s023.t004	letter.n.h.01.
d022.s023.t005	shave.v.h.01.
d022.s023.t006	clean_out.v.h.01.
d022.s023.t007	barn.n.h.01.
d022.s023.t008	read.v.h.01.
d022.s023.t009	newspaper.n.h.01.
d022.s023.t010	man.n.h.01.
d022.s023.t011	30.a.h.01.
d098.s066.t000	witness.n.h.01.
d098.s066.t001	court.n.h.01.
d098.s066.t002	ask.v.h.01.
d098.s066.t003	kick.v.h.01.
d098.s066.t004	ensue.v.h.01.
d098.s066.t005	ruckus.n.h.01.
d098.s066.t006	reply.v.h.01.
d098.s066.t007	be.v.h.01.
d098.s066.t008	stomach.n.h.01.
d171.s012.t000	this_evening.r.h.01.
d171.s012.t001	group.n.h.01.
d171.s012.t002	man.n.h.01.
d171.s012.t003	tomorrow.n.h.01.
d171.s012.t004	night.n.h.01.
d171.s012.t005	go_out.v.h.01.
d171.s012.t006	there.r.h.01.
d171.s012.t007	someplace.r.h.01.
d171.s012.t008	wait.v.h.01.
d035.s024.t000	industry.n.h.01.
d035.s024.t001	model.n.h.01.
d035.s024.t002	be.v.h.01.
d035.s024.t003	so.r.h.01.
d035.s024.t004	important.a.h.01.
d035.s024.t005	pay.n.h.01.
d035.s024.t006	price.n.h.02.
d035.s024.t007	policy.n.h.01.
d035.s024.t008	affect.v.h.01.
d035.s024.t009	public.a.h.01.
d035.s024.t010	interest.n.h.01.
d240.s068.t000	ask.v.h.01.
d240.s068.t001	pick.v.h.01.
d240.s068.t002	give.v.h.01.
d240.s068.t003	affect.v.h.01.
d068.s089.t000	bob.v.h.01.
d068.s089.t001	head.n.h.01.
d068.s089.t002	each.a.h.01.
d068.s089.t003	time.n.h.01.
d068.s089.t004	appear.v.h.01.
d005.s030.t000	person.n.h.01.
d005.s030.t001	remodel.v.h.01.
d005.s030.t002	person.n.h.01.
d005.s030.t003	note.n.h.01.
d005.s030.t004	essay.n.h.01.
d005.s030.t005	french.n.h.01.
d005.s030.t006	submit.v.h.01.
d005.s030.t007	group.n.h.01.
d005.s030.t008	prize.n.h.01.
d005.s030.t009	franc.n.h.01.
d141.s067.t000	coat.n.h.01.
d141.s067.t001	look_like.v.h.01.
d141.s067.t002	rag.n.h.01.
d141.s067.t003	heap.n.h.01.
d141.s101.t000	dig.v.h.01.
d141.s101.t001	hole.n.h.01.
d141.s101.t002	bulb.n.h.01.
d141.s101.t003	tree.n.h.01.
d141.s101.t004	wear.v.h.01.
d141.s101.t005	tag.n.h.01.
d141.s101.t006	writing.n.h.01.
d141.s101.t007	go.v.h.01.
d141.s101.t008	gardening.n.h.01.
d141.s101.t009	now.r.h.01.
d185.s056.t000	person.n.h.01.
d185.s056.t001	junior.n.h.01.
d185.s056.t002	group.n.h.01.
d185.s056.t003	commend.v.h.01.
d185.s056.t004	ability.n.h.01.
d185.s056.t005	hit.v.h.01.
d185.s056.t006	clutch.n.h.01.
d185.s056.t007	also.r.h.01.
d185.s056.t008	all-around.a.h.01.
d185.s056.t009	excellent.a.h.01.
d185.s056.t010	play.n.h.01.
d176.s101.t000	complexity.n.h.01.
d176.s101.t001	communication.n.h.01.
d176.s101.t002	considerably.r.h.01.
d176.s101.t003	abet.v.h.01.
d176.s101.t004	case.n.h.01.
d176.s101.t005	appropriately.r.h.01.
d176.s101.t006	stilted.a.h.01.
d176.s101.t007	english_language.n.h.01.
d176.s101.t008	excellently.r.h.01.
d176.s101.t009	dub.v.h.02.
d176.s101.t010	russian.n.h.01.
d176.s101.t011	dialogue.n.h.01.
pose.v.03_example.0	pose.v.h.01.
d274.s001.t000	be.v.h.01.
d274.s001.t001	be.v.h.01.
d274.s001.t002	see.v.h.01.
d274.s001.t003	line.v.h.01.
semeval2015.d002.s015.t000	foundation.n.h.01.
semeval2015.d002.s015.t001	aim.v.h.01.
semeval2015.d002.s015.t002	document.v.h.01.
semeval2015.d002.s015.t003	characteristic.n.h.01.
semeval2015.d002.s015.t004	age.n.h.01.
semeval2015.d002.s015.t005	barrier.n.h.01.
semeval2015.d002.s015.t006	job.n.h.02.
semeval2015.d002.s015.t008	training.n.h.01.
semeval2015.d002.s015.t009	analyse.v.h.01.
semeval2015.d002.s015.t010	cause.n.h.01.
d004.s046.t000	hero.n.h.03.
d004.s046.t001	be.v.h.01.
d004.s046.t002	represent.v.h.01.
d004.s046.t003	pilgrim.n.h.01.
d004.s046.t004	storied.a.h.01.
d004.s046.t005	land.n.h.02.
d004.s046.t006	east.n.h.01.
d004.s046.t007	kind_of.r.h.01.
d004.s046.t008	person.n.h.01.
d004.s046.t009	type.n.h.01.
d004.s046.t010	quote.v.h.03.
d004.s046.t011	person.n.h.01.
d004.s046.t012	again.r.h.01.
d004.s046.t013	even.r.h.01.
d004.s046.t014	pleasure.n.h.01.
d004.s046.t015	garden.n.h.01.
d004.s046.t016	non.r.h.01.
d004.s046.t017	cease.v.h.01.
d004.s046.t018	painful.a.h.01.
d004.s046.t019	search.n.h.01.
d004.s046.t020	meaning.n.h.01.
d004.s046.t021	life.n.h.01.
d053.s006.t000	leave.v.h.01.
d053.s006.t001	farm.n.h.01.
d053.s006.t002	work.n.h.01.
d053.s006.t003	locality.n.h.01.
d053.s006.t004	short.a.h.01.
d053.s006.t005	notice.n.h.01.
d053.s006.t006	move.n.h.03.
d053.s006.t007	mean.v.h.01.
d053.s006.t008	loss.n.h.01.
d053.s006.t009	capital.n.h.01.
relieve.v.11_example.1	lighten.v.h.01.
d132.s053.t000	also.r.h.01.
d132.s053.t001	god.n.h.01.
d132.s053.t002	drive_out.v.h.01.
d132.s053.t003	paradise.n.h.01.
d132.s053.t004	remove.v.h.01.
d132.s053.t005	far.r.h.01.
d132.s053.t006	tree.n.h.01.
d132.s053.t007	life.n.h.01.
d132.s053.t008	non.r.h.01.
d132.s053.t009	envy.v.h.01.
d132.s053.t010	tree.n.h.01.
d132.s053.t011	life.n.h.01.
d132.s053.t012	assert.v.h.01.
d132.s053.t013	compassionate.v.h.01.
d132.s053.t014	non.r.h.01.
d132.s053.t015	desire.v.h.01.
d132.s053.t016	continue.v.h.01.
d132.s053.t017	evildoer.n.h.01.
d132.s053.t018	ever.r.h.01.
d132.s053.t019	sin.n.h.01.
d132.s053.t020	be.v.h.01.
d132.s053.t021	immortal.a.h.01.
d132.s053.t022	evil.n.h.01.
d132.s053.t023	interminable.a.h.01.
d132.s053.t024	irremediable.a.h.01.
providence.n.02_example.0	providence.n.h.02.
d053.s018.t000	part-time.a.h.01.
d053.s018.t001	farmer.n.h.01.
d053.s018.t002	generally.r.h.01.
d053.s018.t003	pay.v.h.01.
d053.s018.t004	high.a.h.01.
d053.s018.t005	price.n.h.02.
d053.s018.t006	full-time.a.h.01.
d053.s018.t007	farmer.n.h.01.
d053.s018.t008	buy.v.h.01.
d053.s018.t009	small.a.h.01.
d053.s018.t010	quantity.n.h.01.
d132.s007.t000	history.n.h.01.
d132.s007.t001	be.v.h.01.
d132.s007.t002	alone.r.h.01.
d132.s007.t003	each.a.h.01.
d132.s007.t004	man.n.h.01.
d132.s007.t005	recognize.v.h.01.
d132.s007.t006	ain.a.h.01.
