ID,SENTENCE,FINE_PRED,COARSE_PRED,COARSE_LABELS,COARSE_CANDIDATES
semcor_d042.s057,Fujimoto had a pile of cuttings near one side of the lawn . Rector asked him to move it for the time being ; he wanted the mission <<<compound>>> to be effortlessly spotless .,compound.n.03,compound.n.h.02,['compound.n.h.02'],"['compound.n.h.01', 'compound.n.h.02']"
semcor_d042.s057,"Telegraphers at the Depot at this time were Aaron C. Burr and Mark Manley of `` Burr and Manley '' , dealers in lumber and dry goods . Early equipment was very flimsy ; the smallest gusts of wind toppled <<<poles>>> , making communications impossible .",pole.n.01,pole.n.h.02,['pole.n.h.02'],"['pole.n.h.02', 'pole.n.h.01', 'pole.n.h.03']"
semcor_d042.s057,She is <<<coaching>>> the crew .,coach.v.01,coach.v.h.02,['coach.v.h.02'],"['coach.v.h.02', 'coach.v.h.01']"
semcor_d042.s057,"Cardboard noisemakers , substitutes for the unavailable tin models , were being <<<hawked>>> and bought at makeshift stands every few yards along Broadway , and one 's ears were continually serenaded by the horns ' rasps and bleats .",peddle.v.01,hawk.v.h.02,['hawk.v.h.02'],"['hawk.v.h.02', 'hawk.v.h.01', 'clear_the_throat.v.h.01']"
semcor_d042.s057,They <<<processed>>> into the dining room .,march.v.01,process.v.h.02,['process.v.h.02'],"['process.v.h.01', 'process.v.h.02']"
semcor_d042.s057,It 's a secret . That was the new advertising angle - something about a Lloyd's of London <<<policy>>> to insure the secrecy of the secret ingredient .,policy.n.03,insurance_policy.n.h.01,['insurance_policy.n.h.01'],"['policy.n.h.01', 'insurance_policy.n.h.01']"
semcor_d042.s057,I laid a tenspot on the bar and motioned to the bartender to serve a round . He had just returned my change when the doorman came in off the street to <<<page>>> me .,page.v.02,page.v.h.02,['page.v.h.02'],"['page.v.h.02', 'page.v.h.01']"
semcor_d042.s057,The batter hit a <<<liner>>> to the shortstop .,liner.n.01,liner.n.h.01,['liner.n.h.01'],"['liner.n.h.01', 'liner.n.h.02']"
semcor_d042.s057,The stock market fell to a new <<<low>>> .,low.n.01,low.n.h.02,['low.n.h.02'],"['low.n.h.02', 'david_low.n.h.01']"
semcor_d042.s057,The surgeon <<<excised>>> the tumor .,strike.v.14,excise.v.h.02,['excise.v.h.02'],"['excise.v.h.02', 'excise.v.h.01']"
semcor_d042.s057,"`` I have n't had any luck since I was a baby '' . `` <<<Stake>>> me '' , she said , `` and let me at those dice .",bet_on.v.01,stake.v.h.02,['stake.v.h.02'],"['stake.v.h.02', 'stake.v.h.01']"
semcor_d042.s057,"In a raucous take-off on radio commercials , Singer Ray Stevens <<<hawks>>> a cure-all for neuritis , neuralgia , head-cold distress , beriberi , overweight , fungus , mungus and water on the knee .",peddle.v.01,hawk.v.h.02,['hawk.v.h.02'],"['hawk.v.h.02', 'hawk.v.h.01', 'clear_the_throat.v.h.01']"
semcor_d042.s057,Files with a red <<<tab>>> will be stored separately .,check.n.03,tab.n.h.03,['tab.n.h.03'],"['tab.n.h.03', 'tab.n.h.05', 'tab.n.h.06', 'tab.n.h.04']"
semcor_d042.s057,"Now he broke them open , hoping a good meal might lessen this depression crushing Hettie . His long nose wiggled at the smells of frizzling bacon and heating <<<java>>> , but the fire was low , and he wanted to waste no time .",coffee.n.01,java.n.h.03,['java.n.h.03'],"['java.n.h.01', 'java.n.h.03', 'java.n.h.02']"
semcor_d042.s057,"Too often a beginning bodybuilder has to do his training secretly either because his parents do n't want sonny-boy to `` lift all those old barbell things '' because `` you 'll <<<stunt>>> your growth '' or because childish taunts from his schoolmates , like `` Hey , lookit Mr. America , whaddya gonna do with all those muscles ( of which he has none at the time ) '' ?",stunt.v.01,stunt.v.h.01,['stunt.v.h.01'],"['stunt.v.h.01', 'stunt.v.h.02']"
semcor_d042.s057,"Over a temperature range from 25 to 200 * * f and at pressures up to 250 <<<atm>>> , an overload of 300 psi , applied for a period of one day , results in an uncertainty in the pressure of , at most , one millimeter of mercury .",standard_atmosphere.n.01,atm.n.h.03,['atm.n.h.03'],"['atm.n.h.03', 'atm.n.h.02', 'asynchronous_transfer_mode.n.h.01']"
semcor_d042.s057,<<<Bank>>> roads .,bank.v.07,bank.v.h.01,['bank.v.h.01'],"['bank.v.h.01', 'bank.v.h.02']"
semcor_d042.s057,"Old attitudes are held more tenaciously in the Tidewater than the <<<Piedmont>>> ; so that a line running down the length of the South marking the upper limits of tidewater would roughly divide the Old South from the new , but with , of course , important minority enclaves .",piedmont.n.03,piedmont.n.h.01,['piedmont.n.h.01'],"['piedmont.n.h.01', 'piedmont.n.h.02']"
